Date|Day|Top10gross|Title|Top1gross
2019-12-31|365|41665447|Star Wars: Episode IX - The Rise of Skywalker|13217698
2019-12-30|364|43219231|Star Wars: Episode IX - The Rise of Skywalker|15302130
2019-12-29|363|56411598|Star Wars: Episode IX - The Rise of Skywalker|21244082
2019-12-28|362|65192161|Star Wars: Episode IX - The Rise of Skywalker|25075535
2019-12-27|361|65191259|Star Wars: Episode IX - The Rise of Skywalker|26069973
2019-12-26|360|68467070|Star Wars: Episode IX - The Rise of Skywalker|30586950
2019-12-25|359|75198949|Star Wars: Episode IX - The Rise of Skywalker|32165681
2019-12-24|358|36838699|Star Wars: Episode IX - The Rise of Skywalker|20270474
2019-12-23|357|47229945|Star Wars: Episode IX - The Rise of Skywalker|29389847
2019-12-22|356|62731517|Star Wars: Episode IX - The Rise of Skywalker|40301011
2019-12-21|355|72035124|Star Wars: Episode IX - The Rise of Skywalker|47467565
2019-12-20|354|108450464|Star Wars: Episode IX - The Rise of Skywalker|89615288
2019-12-19|353|7862973|Jumanji: The Next Level|3215901
2019-12-18|352|8860729|Jumanji: The Next Level|3456336
2019-12-17|351|14327480|Jumanji: The Next Level|6301757
2019-12-16|350|8508581|Jumanji: The Next Level|3585828
2019-12-15|349|30280587|Jumanji: The Next Level|15917973
2019-12-14|348|46058861|Jumanji: The Next Level|23610586
2019-12-13|347|34092053|Jumanji: The Next Level|19722984
2019-12-12|346|5643980|Frozen II|1758492
2019-12-11|345|6533255|Frozen II|2034899
2019-12-10|344|10602743|Frozen II|3585256
2019-12-09|343|6119141|Frozen II|1890910
2019-12-08|342|23778027|Frozen II|11298128
2019-12-07|341|35416686|Frozen II|16050532
2019-12-06|340|20815381|Frozen II|7816954
2019-12-05|339|7986180|Frozen II|2730406
2019-12-04|338|8346926|Frozen II|2824699
2019-12-03|337|13957681|Frozen II|5336770
2019-12-02|336|9080802|Frozen II|3187895
2019-12-01|335|37085196|Frozen II|19482892
2019-11-30|334|63577988|Frozen II|32363967
2019-11-29|333|66606168|Frozen II|34130914
2019-11-28|332|32997845|Frozen II|14960468
2019-11-27|331|43551766|Frozen II|24080546
2019-11-26|330|31266098|Frozen II|20791974
2019-11-25|329|19568580|Frozen II|12771012
2019-11-24|328|54569715|Frozen II|38017065
2019-11-23|327|74835863|Frozen II|50041031
2019-11-22|326|60740243|Frozen II|42205262
2019-11-21|325|5812815|Ford v Ferrari|2023953
2019-11-20|324|6982607|Ford v Ferrari|2409124
2019-11-19|323|11181619|Ford v Ferrari|3721314
2019-11-18|322|6713649|Ford v Ferrari|2360221
2019-11-17|321|23739106|Ford v Ferrari|8053816
2019-11-16|320|38123029|Ford v Ferrari|12409617
2019-11-15|319|27764908|Ford v Ferrari|11011525
2019-11-14|318|6311446|Midway|1329821
2019-11-13|317|6631735|Midway|1486389
2019-11-12|316|11228501|Midway|2427046
2019-11-11|315|15901040|Midway|3250098
2019-11-10|314|29556564|Midway|5029032
2019-11-09|313|40390774|Midway|6523018
2019-11-08|312|30757803|Midway|6345369
2019-11-07|311|6273986|Terminator: Dark Fate|1433670
2019-11-06|310|6889273|Terminator: Dark Fate|1696985
2019-11-05|309|13173253|Terminator: Dark Fate|3429579
2019-11-04|308|7716943|Terminator: Dark Fate|2063064
2019-11-03|307|27483885|Terminator: Dark Fate|7512332
2019-11-02|306|41965566|Terminator: Dark Fate|10970370
2019-11-01|305|29928048|Terminator: Dark Fate|10551130
2019-10-31|304|8323323|Joker|1886940
2019-10-30|303|6852150|Joker|1631209
2019-10-29|302|11111558|Joker|2468414
2019-10-28|301|8533752|Joker|1768872
2019-10-27|300|27178626|Maleficent: Mistress of Evil|6184545
2019-10-26|299|38191089|Maleficent: Mistress of Evil|8270749
2019-10-25|298|26776569|Joker|5500308
2019-10-24|297|8900850|Joker|2413101
2019-10-23|296|8669482|Joker|2450143
2019-10-22|295|15298320|Maleficent: Mistress of Evil|3983871
2019-10-21|294|9955759|Joker|2742836
2019-10-20|293|35771954|Maleficent: Mistress of Evil|10183290
2019-10-19|292|52663412|Maleficent: Mistress of Evil|14213517
2019-10-18|291|41424039|Maleficent: Mistress of Evil|12551906
2019-10-17|290|9199641|Joker|4203631
2019-10-16|289|10427444|Joker|4910895
2019-10-15|288|16059741|Joker|6973525
2019-10-14|287|19926553|Joker|8345763
2019-10-13|286|38469877|Joker|16817239
2019-10-12|285|52436937|Joker|22137778
2019-10-11|284|41999399|Joker|16906386
2019-10-10|283|12087094|Joker|8304063
2019-10-09|282|14700112|Joker|9611712
2019-10-08|281|20641366|Joker|13908626
2019-10-07|280|13860697|Joker|9702049
2019-10-06|279|37717482|Joker|24374841
2019-10-05|278|52865777|Joker|32476803
2019-10-04|277|52170134|Joker|39350693
2019-10-03|276|5587741|Downton Abbey|1568515
2019-10-02|275|7495381|Downton Abbey|1730210
2019-10-01|274|10738972|Downton Abbey|2310230
2019-09-30|273|7658431|Downton Abbey|1668095
2019-09-29|272|22818240|Abominable|5961755
2019-09-28|271|36793199|Abominable|8995905
2019-09-27|270|24234037|Abominable|5654440
2019-09-26|269|8136114|Downton Abbey|2641420
2019-09-25|268|8688411|Downton Abbey|2901490
2019-09-24|267|13799906|Downton Abbey|4145420
2019-09-23|266|10395122|Downton Abbey|3287855
2019-09-22|265|28690303|Downton Abbey|7639965
2019-09-21|264|43535907|Downton Abbey|9564725
2019-09-20|263|41188444|Downton Abbey|13828975
2019-09-19|262|6051388|Hustlers|2346300
2019-09-18|261|6936968|Hustlers|2635483
2019-09-17|260|11384163|Hustlers|4633021
2019-09-16|259|8155037|Hustlers|2749048
2019-09-15|258|24056556|It Chapter Two|9448683
2019-09-14|257|40561993|It Chapter Two|17300571
2019-09-13|256|32586848|Hustlers|13099693
2019-09-12|255|6541316|It Chapter Two|4000302
2019-09-11|254|7507747|It Chapter Two|4521469
2019-09-10|253|12456628|It Chapter Two|8006196
2019-09-09|252|8036232|It Chapter Two|5478405
2019-09-08|251|29572976|It Chapter Two|20391269
2019-09-07|250|48386580|It Chapter Two|33627227
2019-09-06|249|45819096|It Chapter Two|37043656
2019-09-05|248|3464521|Angel Has Fallen|682666
2019-09-04|247|4314204|Angel Has Fallen|844855
2019-09-03|246|7000338|Angel Has Fallen|1443720
2019-09-02|245|20450930|Angel Has Fallen|3575630
2019-09-01|244|24787874|Angel Has Fallen|4559659
2019-08-31|243|23864410|Angel Has Fallen|4349033
2019-08-30|242|15420754|Angel Has Fallen|2890717
2019-08-29|241|7467977|Angel Has Fallen|1347287
2019-08-28|240|7832897|Angel Has Fallen|1568899
2019-08-27|239|13158948|Angel Has Fallen|2995970
2019-08-26|238|8169076|Angel Has Fallen|1821078
2019-08-25|237|25119532|Angel Has Fallen|5633675
2019-08-24|236|35293890|Angel Has Fallen|7788659
2019-08-23|235|27485690|Angel Has Fallen|7958653
2019-08-22|234|9092749|Good Boys|1703105
2019-08-21|233|11542194|Good Boys|1935025
