Title|Certificate|Runtime|Genres|Rating
Jojo Rabbit|PG-13|108|Comedy, Drama, War|7.9
Booksmart|R|102|Comedy|7.2
Parasite|R|132|Comedy, Drama, Thriller|8.6
Yesterday|PG-13|116|Comedy, Fantasy, Music|6.8
Toy Story 4|G|100|Animation, Adventure, Comedy|7.8
Klaus|PG|96|Animation, Adventure, Comedy|8.2
Waves|R|135|Drama, Romance, Sport|7.6
Weathering with You|PG-13|112|Animation, Drama, Family|7.6
The Peanut Butter Falcon|PG-13|97|Adventure, Comedy, Drama|7.6
Once Upon a Time... in Hollywood|R|161|Comedy, Drama|7.7
Marriage Story|R|137|Comedy, Drama, Romance|8
Us|R|116|Horror, Mystery, Thriller|6.9
Sound! Euphonium the Movie - Our Promise: A Brand New Day||100|Animation, Drama, Family|7.2
How to Train Your Dragon: The Hidden World|PG|104|Animation, Action, Adventure|7.5
Richard Jewell|R|131|Biography, Crime, Drama|7.5
Alita: Battle Angel|PG-13|122|Action, Adventure, Sci-Fi|7.3
Good Boys|R|90|Adventure, Comedy|6.7
Knives Out|PG-13|131|Comedy, Crime, Drama|7.9
1917|R|119|Drama, War|8.3
It Chapter Two|R|169|Drama, Fantasy, Horror|6.6
Ford v Ferrari|PG-13|152|Action, Biography, Drama|8.1
Honey Boy|R|94|Drama|7.3
Avengers: Endgame|PG-13|181|Action, Adventure, Drama|8.4
Frozen II|PG|103|Animation, Adventure, Comedy|7
Glass|PG-13|129|Drama, Sci-Fi, Thriller|6.7
Rascal Does Not Dream of Bunny Girl Senpai The Movie||89|Animation, Drama, Family|7.9
Bombshell|R|109|Biography, Drama|6.8
The Two Popes|PG-13|125|Comedy, Drama|7.6
Rocketman|R|121|Biography, Drama, Music|7.3
Fighting with My Family|PG-13|108|Biography, Comedy, Drama|7.1
Doctor Sleep|R|152|Drama, Fantasy, Horror|7.4
Missing Link|PG|93|Animation, Adventure, Comedy|6.7
The Lighthouse|R|109|Drama, Fantasy, Horror|7.6
Little Women|PG|135|Drama, Romance|7.9
Motherless Brooklyn|R|144|Crime, Drama, Mystery|6.8
Arctic|PG-13|98|Adventure, Drama|6.8
Joker|R|122|Crime, Drama, Thriller|8.5
The Farewell|PG|100|Comedy, Drama|7.6
I Lost My Body|TV-MA|81|Animation, Drama, Fantasy|7.6
The Lego Movie 2: The Second Part|PG|107|Animation, Action, Adventure|6.6
Just Mercy|PG-13|137|Biography, Crime, Drama|7.5
The Irishman|R|209|Biography, Crime, Drama|7.9
The Lion King|PG|118|Animation, Adventure, Drama|6.9
Spider-Man: Far from Home|PG-13|129|Action, Adventure, Sci-Fi|7.5
Apollo 11|G|93|Documentary, History|8.2
Midsommar|R|148|Drama, Horror, Mystery|7.1
Dolemite Is My Name|R|118|Biography, Comedy, Drama|7.3
Shazam!|PG-13|132|Action, Adventure, Comedy|7.1
Five Feet Apart|PG-13|116|Drama, Romance|7.2
